model                                             : Test   | Val
================== mae ==================
dhaka                                             : 0.4263 | 0.4160
tangail                                           : 0.3845 | 0.3897
mymensingh                                        : 0.3856 | 0.3547
faridpur                                          : 0.3570 | 0.3501
madaripur                                         : 0.3284 | 0.3019
srimangal                                         : 0.4256 | 0.4256
sylhet                                            : 0.4709 | 0.4756
bogra                                             : 0.3908 | 0.4116
dinajpur                                          : 0.4206 | 0.3805
ishurdi                                           : 0.3428 | 0.3361
rajshahi                                          : 0.3664 | 0.3426
rangpur                                           : 0.3781 | 0.3835
sydpur                                            : 0.4717 | 0.4506
chuadanga                                         : 0.2821 | 0.3720
jessore                                           : 0.4118 | 0.4185
khulna                                            : 0.3630 | 0.3429
mongla                                            : 0.3627 | 0.3510
satkhira                                          : 0.3004 | 0.2987
barisal                                           : 0.3714 | 0.3664
bhola                                             : 0.4459 | 0.3970
khepupara                                         : 0.3682 | 0.3542
patuakhali                                        : 0.3355 | 0.3270
chandpur                                          : 0.4043 | 0.3828
teknaf                                            : 0.4025 | 0.3614
chittagong                                        : 0.4264 | 0.4084
comilla                                           : 0.4276 | 0.3532
coxsbazar                                         : 0.3517 | 0.3604
feni                                              : 0.4147 | 0.3671
hatiya                                            : 0.3174 | 0.3102
kutubdia                                          : 0.4078 | 0.3369
mcourt                                            : 0.4619 | 0.4517
rangamati                                         : 0.3748 | 0.3802
sandwip                                           : 0.3145 | 0.3114
ambaganctg                                        : 0.4825 | 0.4871
sitakunda                                         : 0.3477 | 0.3595
================== msle ==================
dhaka                                             : 0.0593 | 0.0562
tangail                                           : 0.0531 | 0.0537
mymensingh                                        : 0.0528 | 0.0494
faridpur                                          : 0.0501 | 0.0463
madaripur                                         : 0.0530 | 0.0470
srimangal                                         : 0.0688 | 0.0625
sylhet                                            : 0.0659 | 0.0623
bogra                                             : 0.0523 | 0.0547
dinajpur                                          : 0.0592 | 0.0497
ishurdi                                           : 0.0495 | 0.0439
rajshahi                                          : 0.0494 | 0.0438
rangpur                                           : 0.0465 | 0.0501
sydpur                                            : 0.0706 | 0.0607
chuadanga                                         : 0.0370 | 0.0507
jessore                                           : 0.0517 | 0.0547
khulna                                            : 0.0498 | 0.0444
mongla                                            : 0.0519 | 0.0490
satkhira                                          : 0.0404 | 0.0386
barisal                                           : 0.0524 | 0.0511
bhola                                             : 0.0734 | 0.0642
khepupara                                         : 0.0501 | 0.0468
patuakhali                                        : 0.0481 | 0.0471
chandpur                                          : 0.0594 | 0.0542
teknaf                                            : 0.0600 | 0.0505
chittagong                                        : 0.0513 | 0.0520
comilla                                           : 0.0597 | 0.0473
coxsbazar                                         : 0.0416 | 0.0436
feni                                              : 0.0608 | 0.0520
hatiya                                            : 0.0452 | 0.0423
kutubdia                                          : 0.0506 | 0.0419
mcourt                                            : 0.0715 | 0.0666
rangamati                                         : 0.0554 | 0.0600
sandwip                                           : 0.0403 | 0.0385
ambaganctg                                        : 0.0726 | 0.0680
sitakunda                                         : 0.0519 | 0.0550
================== mse ==================
dhaka                                             : 0.4179 | 0.4397
tangail                                           : 0.3701 | 0.3700
mymensingh                                        : 0.3686 | 0.3297
faridpur                                          : 0.3374 | 0.3108
madaripur                                         : 0.3293 | 0.2711
srimangal                                         : 0.4544 | 0.4369
sylhet                                            : 0.5356 | 0.5480
bogra                                             : 0.3704 | 0.4200
dinajpur                                          : 0.4676 | 0.3922
ishurdi                                           : 0.3394 | 0.3127
rajshahi                                          : 0.3520 | 0.3082
rangpur                                           : 0.3489 | 0.3619
sydpur                                            : 0.5794 | 0.4950
chuadanga                                         : 0.3402 | 0.3983
jessore                                           : 0.4524 | 0.4958
